DeathMaritalStatusMaritalStatusDesc,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Married,Salmonella infections (A01-A02),0,N/A,0
Married but Separated,Salmonella infections (A01-A02),0,N/A,3
Widowed,Salmonella infections (A01-A02),0,N/A,6
Divorced,Salmonella infections (A01-A02),0,N/A,9
Never Married,Salmonella infections (A01-A02),0,N/A,12
Unknown,Salmonella infections (A01-A02),0,N/A,15
Married,Shigellosis and amebiasis (A03A06),0,N/A,21
Married but Separated,Shigellosis and amebiasis (A03A06),0,N/A,24
Widowed,Shigellosis and amebiasis (A03A06),0,N/A,27
Divorced,Shigellosis and amebiasis (A03A06),0,N/A,30
Never Married,Shigellosis and amebiasis (A03A06),0,N/A,33
Unknown,Shigellosis and amebiasis (A03A06),0,N/A,36
Married,Certain other intestinal infections (A04A07-A09),0,N/A,42
Married but Separated,Certain other intestinal infections (A04A07-A09),0,N/A,45
Widowed,Certain other intestinal infections (A04A07-A09),0,N/A,48
Divorced,Certain other intestinal infections (A04A07-A09),0,N/A,51
Never Married,Certain other intestinal infections (A04A07-A09),0,N/A,54
Unknown,Certain other intestinal infections (A04A07-A09),0,N/A,57
Married,Respiratory tuberculosis (A16),0,N/A,63
Married but Separated,Respiratory tuberculosis (A16),0,N/A,66
Widowed,Respiratory tuberculosis (A16),0,N/A,69
Divorced,Respiratory tuberculosis (A16),0,N/A,72
Never Married,Respiratory tuberculosis (A16),0,N/A,75
Unknown,Respiratory tuberculosis (A16),0,N/A,78
Married,Other tuberculosis (A17-A19),0,N/A,84
Married but Separated,Other tuberculosis (A17-A19),0,N/A,87
Widowed,Other tuberculosis (A17-A19),0,N/A,90
Divorced,Other tuberculosis (A17-A19),0,N/A,93
Never Married,Other tuberculosis (A17-A19),0,N/A,96
Unknown,Other tuberculosis (A17-A19),0,N/A,99
Married,Whooping cough (A37),0,N/A,105
Married but Separated,Whooping cough (A37),0,N/A,108
Widowed,Whooping cough (A37),0,N/A,111
Divorced,Whooping cough (A37),0,N/A,114
Never Married,Whooping cough (A37),0,N/A,117
