DeathMaritalStatusMaritalStatusDesc,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Married,2020 **,Salmonella infections (A01-A02),2,N/A,0
Married,2021 **,Salmonella infections (A01-A02),0,N/A,3
Married,Total,Salmonella infections (A01-A02),2,N/A,6
Married but Separated,2020 **,Salmonella infections (A01-A02),0,N/A,9
Married but Separated,2021 **,Salmonella infections (A01-A02),0,N/A,12
Married but Separated,Total,Salmonella infections (A01-A02),0,N/A,15
Widowed,2020 **,Salmonella infections (A01-A02),0,N/A,18
Widowed,2021 **,Salmonella infections (A01-A02),0,N/A,21
Widowed,Total,Salmonella infections (A01-A02),0,N/A,24
Divorced,2020 **,Salmonella infections (A01-A02),1,N/A,27
Divorced,2021 **,Salmonella infections (A01-A02),0,N/A,30
Divorced,Total,Salmonella infections (A01-A02),1,N/A,33
Never Married,2020 **,Salmonella infections (A01-A02),0,N/A,36
Never Married,2021 **,Salmonella infections (A01-A02),0,N/A,39
Never Married,Total,Salmonella infections (A01-A02),0,N/A,42
Unknown,2020 **,Salmonella infections (A01-A02),0,N/A,45
Unknown,2021 **,Salmonella infections (A01-A02),0,N/A,48
Unknown,Total,Salmonella infections (A01-A02),0,N/A,51
Total,2020 **,Salmonella infections (A01-A02),3,N/A,54
Total,2021 **,Salmonella infections (A01-A02),0,N/A,57
Total,Total,Salmonella infections (A01-A02),3,N/A,60
Married,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,63
Married,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,66
Married,Total,Shigellosis and amebiasis (A03A06),0,N/A,69
Married but Separated,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,72
Married but Separated,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,75
Married but Separated,Total,Shigellosis and amebiasis (A03A06),0,N/A,78
Widowed,2020 **,Shigellosis and amebiasis (A03A06),1,N/A,81
Widowed,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,84
Widowed,Total,Shigellosis and amebiasis (A03A06),1,N/A,87
Divorced,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,90
Divorced,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,93
Divorced,Total,Shigellosis and amebiasis (A03A06),0,N/A,96
Never Married,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,99
Never Married,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,102
Never Married,Total,Shigellosis and amebiasis (A03A06),0,N/A,105
Unknown,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,108
Unknown,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,111
Unknown,Total,Shigellosis and amebiasis (A03A06),0,N/A,114
Total,2020 **,Shigellosis and amebiasis (A03A06),1,N/A,117
Total,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,120
Total,Total,Shigellosis and amebiasis (A03A06),1,N/A,123
Married,2020 **,Certain other intestinal infections (A04A07-A09),82,0.5,126
Married,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,129
Married,Total,Certain other intestinal infections (A04A07-A09),82,0.3,132
Married but Separated,2020 **,Certain other intestinal infections (A04A07-A09),0,N/A,135
Married but Separated,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,138
Married but Separated,Total,Certain other intestinal infections (A04A07-A09),0,N/A,141
Widowed,2020 **,Certain other intestinal infections (A04A07-A09),90,0.6,144
Widowed,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,147
Widowed,Total,Certain other intestinal infections (A04A07-A09),90,0.3,150
Divorced,2020 **,Certain other intestinal infections (A04A07-A09),48,0.3,153
Divorced,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,156
Divorced,Total,Certain other intestinal infections (A04A07-A09),48,0.2,159
Never Married,2020 **,Certain other intestinal infections (A04A07-A09),25,0.2,162
Never Married,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,165
Never Married,Total,Certain other intestinal infections (A04A07-A09),25,0.1,168
Unknown,2020 **,Certain other intestinal infections (A04A07-A09),1,N/A,171
Unknown,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,174
Unknown,Total,Certain other intestinal infections (A04A07-A09),1,N/A,177
Total,2020 **,Certain other intestinal infections (A04A07-A09),246,1.6,180
Total,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,183
Total,Total,Certain other intestinal infections (A04A07-A09),246,0.8,186
Married,2020 **,Respiratory tuberculosis (A16),5,N/A,189
Married,2021 **,Respiratory tuberculosis (A16),0,N/A,192
Married,Total,Respiratory tuberculosis (A16),5,N/A,195
Married but Separated,2020 **,Respiratory tuberculosis (A16),0,N/A,198
Married but Separated,2021 **,Respiratory tuberculosis (A16),0,N/A,201
Married but Separated,Total,Respiratory tuberculosis (A16),0,N/A,204
Widowed,2020 **,Respiratory tuberculosis (A16),1,N/A,207
Widowed,2021 **,Respiratory tuberculosis (A16),0,N/A,210
Widowed,Total,Respiratory tuberculosis (A16),1,N/A,213
Divorced,2020 **,Respiratory tuberculosis (A16),1,N/A,216
Divorced,2021 **,Respiratory tuberculosis (A16),0,N/A,219
Divorced,Total,Respiratory tuberculosis (A16),1,N/A,222
Never Married,2020 **,Respiratory tuberculosis (A16),1,N/A,225
Never Married,2021 **,Respiratory tuberculosis (A16),0,N/A,228
Never Married,Total,Respiratory tuberculosis (A16),1,N/A,231
Unknown,2020 **,Respiratory tuberculosis (A16),0,N/A,234
Unknown,2021 **,Respiratory tuberculosis (A16),0,N/A,237
Unknown,Total,Respiratory tuberculosis (A16),0,N/A,240
Total,2020 **,Respiratory tuberculosis (A16),8,N/A,243
Total,2021 **,Respiratory tuberculosis (A16),0,N/A,246
Total,Total,Respiratory tuberculosis (A16),8,N/A,249
Married,2020 **,Other tuberculosis (A17-A19),4,N/A,252
Married,2021 **,Other tuberculosis (A17-A19),0,N/A,255
Married,Total,Other tuberculosis (A17-A19),4,N/A,258
Married but Separated,2020 **,Other tuberculosis (A17-A19),0,N/A,261
Married but Separated,2021 **,Other tuberculosis (A17-A19),0,N/A,264
