DeathEthnicityEthnicityDesc,DeathYearYear,DeathCOD358ICDCode358Desc,Deaths,DeathAgeAdjustedRate11,SORT
Hispanic,2020 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,0
Hispanic,2021 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,3
Hispanic,Total,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,6
Non-Hispanic,2020 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),3,N/A,9
Non-Hispanic,2021 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,12
Non-Hispanic,Total,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),3,N/A,15
Unknown,2020 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,18
Unknown,2021 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,21
Unknown,Total,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,24
Total,2020 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),3,N/A,27
Total,2021 **,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),0,N/A,30
Total,Total,Paratyphoid fevers and other salmonella infections (A01.1-A01.4A02),3,N/A,33
Hispanic,2020 **,Shigellosis (A03),0,N/A,36
Hispanic,2021 **,Shigellosis (A03),0,N/A,39
Hispanic,Total,Shigellosis (A03),0,N/A,42
Non-Hispanic,2020 **,Shigellosis (A03),0,N/A,45
Non-Hispanic,2021 **,Shigellosis (A03),0,N/A,48
Non-Hispanic,Total,Shigellosis (A03),0,N/A,51
Unknown,2020 **,Shigellosis (A03),0,N/A,54
Unknown,2021 **,Shigellosis (A03),0,N/A,57
Unknown,Total,Shigellosis (A03),0,N/A,60
Total,2020 **,Shigellosis (A03),0,N/A,63
Total,2021 **,Shigellosis (A03),0,N/A,66
Total,Total,Shigellosis (A03),0,N/A,69
Hispanic,2020 **,Other bacterial food-borne intoxications (A05),0,N/A,72
Hispanic,2021 **,Other bacterial food-borne intoxications (A05),0,N/A,75
Hispanic,Total,Other bacterial food-borne intoxications (A05),0,N/A,78
Non-Hispanic,2020 **,Other bacterial food-borne intoxications (A05),0,N/A,81
Non-Hispanic,2021 **,Other bacterial food-borne intoxications (A05),0,N/A,84
Non-Hispanic,Total,Other bacterial food-borne intoxications (A05),0,N/A,87
Unknown,2020 **,Other bacterial food-borne intoxications (A05),0,N/A,90
Unknown,2021 **,Other bacterial food-borne intoxications (A05),0,N/A,93
Unknown,Total,Other bacterial food-borne intoxications (A05),0,N/A,96
Total,2020 **,Other bacterial food-borne intoxications (A05),0,N/A,99
Total,2021 **,Other bacterial food-borne intoxications (A05),0,N/A,102
Total,Total,Other bacterial food-borne intoxications (A05),0,N/A,105
Hispanic,2020 **,Amebiasis (A06),0,N/A,108
Hispanic,2021 **,Amebiasis (A06),0,N/A,111
Hispanic,Total,Amebiasis (A06),0,N/A,114
Non-Hispanic,2020 **,Amebiasis (A06),1,N/A,117
Non-Hispanic,2021 **,Amebiasis (A06),0,N/A,120
Non-Hispanic,Total,Amebiasis (A06),1,N/A,123
Unknown,2020 **,Amebiasis (A06),0,N/A,126
Unknown,2021 **,Amebiasis (A06),0,N/A,129
Unknown,Total,Amebiasis (A06),0,N/A,132
Total,2020 **,Amebiasis (A06),1,N/A,135
Total,2021 **,Amebiasis (A06),0,N/A,138
Total,Total,Amebiasis (A06),1,N/A,141
Hispanic,2020 **,Intestinal infections due to other specified organisms (A04A07-A08),1,N/A,144
Hispanic,2021 **,Intestinal infections due to other specified organisms (A04A07-A08),0,N/A,147
Hispanic,Total,Intestinal infections due to other specified organisms (A04A07-A08),1,N/A,150
Non-Hispanic,2020 **,Intestinal infections due to other specified organisms (A04A07-A08),150,1.0,153
Non-Hispanic,2021 **,Intestinal infections due to other specified organisms (A04A07-A08),0,N/A,156
Non-Hispanic,Total,Intestinal infections due to other specified organisms (A04A07-A08),150,0.5,159
Unknown,2020 **,Intestinal infections due to other specified organisms (A04A07-A08),0,N/A,162
Unknown,2021 **,Intestinal infections due to other specified organisms (A04A07-A08),0,N/A,165
Unknown,Total,Intestinal infections due to other specified organisms (A04A07-A08),0,N/A,168
Total,2020 **,Intestinal infections due to other specified organisms (A04A07-A08),151,1.0,171
Total,2021 **,Intestinal infections due to other specified organisms (A04A07-A08),0,N/A,174
Total,Total,Intestinal infections due to other specified organisms (A04A07-A08),151,0.5,177
Hispanic,2020 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),1,N/A,180
Hispanic,2021 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),0,N/A,183
Hispanic,Total,Diarrhea and gastroenteritis of presumed infectious origin (A09),1,N/A,186
Non-Hispanic,2020 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),94,0.6,189
Non-Hispanic,2021 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),0,N/A,192
Non-Hispanic,Total,Diarrhea and gastroenteritis of presumed infectious origin (A09),94,0.3,195
Unknown,2020 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),0,N/A,198
Unknown,2021 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),0,N/A,201
Unknown,Total,Diarrhea and gastroenteritis of presumed infectious origin (A09),0,N/A,204
Total,2020 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),95,0.6,207
Total,2021 **,Diarrhea and gastroenteritis of presumed infectious origin (A09),0,N/A,210
Total,Total,Diarrhea and gastroenteritis of presumed infectious origin (A09),95,0.3,213
Hispanic,2020 **,Respiratory tuberculosis(A16),0,N/A,216
Hispanic,2021 **,Respiratory tuberculosis(A16),0,N/A,219
Hispanic,Total,Respiratory tuberculosis(A16),0,N/A,222
