DeathEthnicityEthnicityDesc,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Hispanic,Salmonella infections (A01-A02),0,N/A,0
Non-Hispanic,Salmonella infections (A01-A02),0,N/A,3
Unknown,Salmonella infections (A01-A02),0,N/A,6
Total,Salmonella infections (A01-A02),0,N/A,9
Hispanic,Shigellosis and amebiasis (A03A06),0,N/A,12
Non-Hispanic,Shigellosis and amebiasis (A03A06),0,N/A,15
Unknown,Shigellosis and amebiasis (A03A06),0,N/A,18
Total,Shigellosis and amebiasis (A03A06),0,N/A,21
Hispanic,Certain other intestinal infections (A04A07-A09),0,N/A,24
Non-Hispanic,Certain other intestinal infections (A04A07-A09),0,N/A,27
Unknown,Certain other intestinal infections (A04A07-A09),0,N/A,30
Total,Certain other intestinal infections (A04A07-A09),0,N/A,33
Hispanic,Respiratory tuberculosis (A16),0,N/A,36
Non-Hispanic,Respiratory tuberculosis (A16),0,N/A,39
Unknown,Respiratory tuberculosis (A16),0,N/A,42
Total,Respiratory tuberculosis (A16),0,N/A,45
Hispanic,Other tuberculosis (A17-A19),0,N/A,48
Non-Hispanic,Other tuberculosis (A17-A19),0,N/A,51
Unknown,Other tuberculosis (A17-A19),0,N/A,54
Total,Other tuberculosis (A17-A19),0,N/A,57
Hispanic,Whooping cough (A37),0,N/A,60
Non-Hispanic,Whooping cough (A37),0,N/A,63
Unknown,Whooping cough (A37),0,N/A,66
Total,Whooping cough (A37),0,N/A,69
Hispanic,Scarlet fever and erysipelas (A38A46),0,N/A,72
Non-Hispanic,Scarlet fever and erysipelas (A38A46),0,N/A,75
Unknown,Scarlet fever and erysipelas (A38A46),0,N/A,78
Total,Scarlet fever and erysipelas (A38A46),0,N/A,81
Hispanic,Meningococcal infection (A39),0,N/A,84
Non-Hispanic,Meningococcal infection (A39),0,N/A,87
Unknown,Meningococcal infection (A39),0,N/A,90
Total,Meningococcal infection (A39),0,N/A,93
Hispanic,Septicemia (A40-A41),0,N/A,96
Non-Hispanic,Septicemia (A40-A41),8,N/A,99
Unknown,Septicemia (A40-A41),0,N/A,102
Total,Septicemia (A40-A41),8,N/A,105
Hispanic,Syphilis ((A50-A53),0,N/A,108
Non-Hispanic,Syphilis ((A50-A53),0,N/A,111
Unknown,Syphilis ((A50-A53),0,N/A,114
Total,Syphilis ((A50-A53),0,N/A,117
Hispanic,Acute poliomyelitis (A80),0,N/A,120
Non-Hispanic,Acute poliomyelitis (A80),0,N/A,123
Unknown,Acute poliomyelitis (A80),0,N/A,126
Total,Acute poliomyelitis (A80),0,N/A,129
Hispanic,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,132
Non-Hispanic,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,135
Unknown,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,138
Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,141
Hispanic,Viral hepatitis (B15-B19),0,N/A,144
Non-Hispanic,Viral hepatitis (B15-B19),0,N/A,147
Unknown,Viral hepatitis (B15-B19),0,N/A,150
Total,Viral hepatitis (B15-B19),0,N/A,153
Hispanic,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,156
Non-Hispanic,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,159
Unknown,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,162
Total,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,165
Hispanic,Malaria (B50-B54),0,N/A,168
Non-Hispanic,Malaria (B50-B54),0,N/A,171
Unknown,Malaria (B50-B54),0,N/A,174
Total,Malaria (B50-B54),0,N/A,177
Hispanic,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,180
Non-Hispanic,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,183
Unknown,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,186
Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,189
Hispanic,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,192
Non-Hispanic,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),2,N/A,195
Unknown,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,198
Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),2,N/A,201
Hispanic,Malignant neoplasm of esophagus (C15),0,N/A,204
Non-Hispanic,Malignant neoplasm of esophagus (C15),3,N/A,207
Unknown,Malignant neoplasm of esophagus (C15),0,N/A,210
Total,Malignant neoplasm of esophagus (C15),3,N/A,213
Hispanic,Malignant neoplasm of stomach (C16),0,N/A,216
Non-Hispanic,Malignant neoplasm of stomach (C16),2,N/A,219
Unknown,Malignant neoplasm of stomach (C16),0,N/A,222
Total,Malignant neoplasm of stomach (C16),2,N/A,225
Hispanic,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,228
Non-Hispanic,Malignant neoplasms of colon rectum and anus (C18-C21),19,0,231
Unknown,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,234
Total,Malignant neoplasms of colon rectum and anus (C18-C21),19,0,237
Hispanic,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,240
Non-Hispanic,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1,N/A,243
Unknown,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,246
Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1,N/A,249
Hispanic,Malignant neoplasm of pancreas (C25),0,N/A,252
Non-Hispanic,Malignant neoplasm of pancreas (C25),9,N/A,255
Unknown,Malignant neoplasm of pancreas (C25),0,N/A,258
Total,Malignant neoplasm of pancreas (C25),9,N/A,261
Hispanic,Malignant neoplasm of larynx (C32),0,N/A,264
Non-Hispanic,Malignant neoplasm of larynx (C32),1,N/A,267
Unknown,Malignant neoplasm of larynx (C32),0,N/A,270
Total,Malignant neoplasm of larynx (C32),1,N/A,273
Hispanic,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,276
Non-Hispanic,Malignant neoplasms of trachea bronchus and lung (C33-C34),27,0,279
Unknown,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,282
Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),27,0,285
Hispanic,Malignant melanoma of skin (C43),0,N/A,288
Non-Hispanic,Malignant melanoma of skin (C43),4,N/A,291
Unknown,Malignant melanoma of skin (C43),0,N/A,294
Total,Malignant melanoma of skin (C43),4,N/A,297
Hispanic,Malignant neoplasm of breast (C50),0,N/A,300
Non-Hispanic,Malignant neoplasm of breast (C50),11,0,303
Unknown,Malignant neoplasm of breast (C50),0,N/A,306
Total,Malignant neoplasm of breast (C50),11,0,309
