DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,SORT
2007,Salmonella infections (A01-A02),2,0
2008,Salmonella infections (A01-A02),2,2
2009,Salmonella infections (A01-A02),3,4
2010,Salmonella infections (A01-A02),0,6
2011,Salmonella infections (A01-A02),2,8
2012,Salmonella infections (A01-A02),0,10
2013,Salmonella infections (A01-A02),2,12
2014,Salmonella infections (A01-A02),0,14
2015,Salmonella infections (A01-A02),2,16
2016,Salmonella infections (A01-A02),0,18
2017,Salmonella infections (A01-A02),3,20
2018,Salmonella infections (A01-A02),1,22
2019,Salmonella infections (A01-A02),1,24
2020 **,Salmonella infections (A01-A02),2,26
2007,Shigellosis and amebiasis (A03A06),0,30
2008,Shigellosis and amebiasis (A03A06),0,32
2009,Shigellosis and amebiasis (A03A06),0,34
2010,Shigellosis and amebiasis (A03A06),0,36
2011,Shigellosis and amebiasis (A03A06),0,38
2012,Shigellosis and amebiasis (A03A06),0,40
2013,Shigellosis and amebiasis (A03A06),0,42
2014,Shigellosis and amebiasis (A03A06),1,44
2015,Shigellosis and amebiasis (A03A06),0,46
2016,Shigellosis and amebiasis (A03A06),0,48
2017,Shigellosis and amebiasis (A03A06),0,50
2018,Shigellosis and amebiasis (A03A06),1,52
2019,Shigellosis and amebiasis (A03A06),0,54
2020 **,Shigellosis and amebiasis (A03A06),1,56
2007,Certain other intestinal infections (A04A07-A09),532,60
2008,Certain other intestinal infections (A04A07-A09),549,62
2009,Certain other intestinal infections (A04A07-A09),595,64
2010,Certain other intestinal infections (A04A07-A09),548,66
2011,Certain other intestinal infections (A04A07-A09),565,68
2012,Certain other intestinal infections (A04A07-A09),544,70
2013,Certain other intestinal infections (A04A07-A09),471,72
2014,Certain other intestinal infections (A04A07-A09),404,74
2015,Certain other intestinal infections (A04A07-A09),395,76
2016,Certain other intestinal infections (A04A07-A09),361,78
2017,Certain other intestinal infections (A04A07-A09),361,80
2018,Certain other intestinal infections (A04A07-A09),299,82
2019,Certain other intestinal infections (A04A07-A09),290,84
2020 **,Certain other intestinal infections (A04A07-A09),237,86
2007,Respiratory tuberculosis (A16),12,90
2008,Respiratory tuberculosis (A16),9,92
2009,Respiratory tuberculosis (A16),10,94
2010,Respiratory tuberculosis (A16),4,96
2011,Respiratory tuberculosis (A16),11,98
2012,Respiratory tuberculosis (A16),6,100
2013,Respiratory tuberculosis (A16),6,102
2014,Respiratory tuberculosis (A16),12,104
2015,Respiratory tuberculosis (A16),10,106
2016,Respiratory tuberculosis (A16),7,108
2017,Respiratory tuberculosis (A16),10,110
2018,Respiratory tuberculosis (A16),7,112
2019,Respiratory tuberculosis (A16),2,114
2020 **,Respiratory tuberculosis (A16),9,116
2007,Other tuberculosis (A17-A19),8,120
2008,Other tuberculosis (A17-A19),5,122
2009,Other tuberculosis (A17-A19),4,124
2010,Other tuberculosis (A17-A19),9,126
2011,Other tuberculosis (A17-A19),3,128
2012,Other tuberculosis (A17-A19),6,130
2013,Other tuberculosis (A17-A19),8,132
2014,Other tuberculosis (A17-A19),2,134
2015,Other tuberculosis (A17-A19),6,136
2016,Other tuberculosis (A17-A19),3,138
2017,Other tuberculosis (A17-A19),7,140
2018,Other tuberculosis (A17-A19),7,142
2019,Other tuberculosis (A17-A19),4,144
2020 **,Other tuberculosis (A17-A19),6,146
2007,Whooping cough (A37),0,150
2008,Whooping cough (A37),2,152
2009,Whooping cough (A37),0,154
2010,Whooping cough (A37),0,156
2011,Whooping cough (A37),0,158
2012,Whooping cough (A37),1,160
2013,Whooping cough (A37),0,162
2014,Whooping cough (A37),1,164
2015,Whooping cough (A37),0,166
2016,Whooping cough (A37),0,168
2017,Whooping cough (A37),0,170
2018,Whooping cough (A37),1,172
2019,Whooping cough (A37),0,174
2020 **,Whooping cough (A37),1,176
2007,Scarlet fever and erysipelas (A38A46),0,180
2008,Scarlet fever and erysipelas (A38A46),0,182
2009,Scarlet fever and erysipelas (A38A46),0,184
2010,Scarlet fever and erysipelas (A38A46),1,186
2011,Scarlet fever and erysipelas (A38A46),0,188
2012,Scarlet fever and erysipelas (A38A46),0,190
2013,Scarlet fever and erysipelas (A38A46),0,192
2014,Scarlet fever and erysipelas (A38A46),0,194
2015,Scarlet fever and erysipelas (A38A46),0,196
2016,Scarlet fever and erysipelas (A38A46),0,198
2017,Scarlet fever and erysipelas (A38A46),0,200
2018,Scarlet fever and erysipelas (A38A46),0,202
2019,Scarlet fever and erysipelas (A38A46),0,204
2020 **,Scarlet fever and erysipelas (A38A46),0,206
2007,Meningococcal infection (A39),2,210
2008,Meningococcal infection (A39),3,212
2009,Meningococcal infection (A39),2,214
2010,Meningococcal infection (A39),2,216
2011,Meningococcal infection (A39),3,218
2012,Meningococcal infection (A39),3,220
2013,Meningococcal infection (A39),0,222
2014,Meningococcal infection (A39),0,224
2015,Meningococcal infection (A39),1,226
2016,Meningococcal infection (A39),0,228
2017,Meningococcal infection (A39),1,230
2018,Meningococcal infection (A39),0,232
2019,Meningococcal infection (A39),1,234
2020 **,Meningococcal infection (A39),1,236
