DeathEducationLevelEducationLevel,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
8TH GRADE OR LESS,Salmonella infections (A01-A02),1,N/A,0
9TH THRU 12TH GRADE; NO DIPLOMA,Salmonella infections (A01-A02),2,N/A,3
HIGH SCHOOL GRADUATE OR GED,Salmonella infections (A01-A02),12,0.0,6
COLLEGE BUT NO DEGREE,Salmonella infections (A01-A02),3,N/A,9
ASSOCIATE DEGREE (E.G. AA AS),Salmonella infections (A01-A02),1,N/A,12
BACHELORS DEGREE (E.G. BA AB BS),Salmonella infections (A01-A02),2,N/A,15
MASTERS DEGREE (E.G. MA MS..),Salmonella infections (A01-A02),0,N/A,18
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Salmonella infections (A01-A02),0,N/A,21
UNKNOWN,Salmonella infections (A01-A02),0,N/A,24
Total,Salmonella infections (A01-A02),21,0.0,27
8TH GRADE OR LESS,Shigellosis and amebiasis (A03A06),0,N/A,30
9TH THRU 12TH GRADE; NO DIPLOMA,Shigellosis and amebiasis (A03A06),0,N/A,33
HIGH SCHOOL GRADUATE OR GED,Shigellosis and amebiasis (A03A06),1,N/A,36
COLLEGE BUT NO DEGREE,Shigellosis and amebiasis (A03A06),0,N/A,39
ASSOCIATE DEGREE (E.G. AA AS),Shigellosis and amebiasis (A03A06),0,N/A,42
BACHELORS DEGREE (E.G. BA AB BS),Shigellosis and amebiasis (A03A06),2,N/A,45
MASTERS DEGREE (E.G. MA MS..),Shigellosis and amebiasis (A03A06),0,N/A,48
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Shigellosis and amebiasis (A03A06),0,N/A,51
UNKNOWN,Shigellosis and amebiasis (A03A06),0,N/A,54
Total,Shigellosis and amebiasis (A03A06),3,N/A,57
8TH GRADE OR LESS,Certain other intestinal infections (A04A07-A09),640,0.3,60
9TH THRU 12TH GRADE; NO DIPLOMA,Certain other intestinal infections (A04A07-A09),854,0.4,63
HIGH SCHOOL GRADUATE OR GED,Certain other intestinal infections (A04A07-A09),3141,1.5,66
COLLEGE BUT NO DEGREE,Certain other intestinal infections (A04A07-A09),531,0.2,69
ASSOCIATE DEGREE (E.G. AA AS),Certain other intestinal infections (A04A07-A09),254,0.1,72
BACHELORS DEGREE (E.G. BA AB BS),Certain other intestinal infections (A04A07-A09),435,0.2,75
MASTERS DEGREE (E.G. MA MS..),Certain other intestinal infections (A04A07-A09),138,0.1,78
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Certain other intestinal infections (A04A07-A09),67,0.0,81
UNKNOWN,Certain other intestinal infections (A04A07-A09),159,0.1,84
Total,Certain other intestinal infections (A04A07-A09),6219,2.9,87
8TH GRADE OR LESS,Respiratory tuberculosis (A16),19,0.0,90
9TH THRU 12TH GRADE; NO DIPLOMA,Respiratory tuberculosis (A16),18,0.0,93
HIGH SCHOOL GRADUATE OR GED,Respiratory tuberculosis (A16),49,0.0,96
COLLEGE BUT NO DEGREE,Respiratory tuberculosis (A16),12,0.0,99
ASSOCIATE DEGREE (E.G. AA AS),Respiratory tuberculosis (A16),5,N/A,102
BACHELORS DEGREE (E.G. BA AB BS),Respiratory tuberculosis (A16),4,N/A,105
MASTERS DEGREE (E.G. MA MS..),Respiratory tuberculosis (A16),3,N/A,108
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Respiratory tuberculosis (A16),2,N/A,111
UNKNOWN,Respiratory tuberculosis (A16),5,N/A,114
Total,Respiratory tuberculosis (A16),117,0.1,117
8TH GRADE OR LESS,Other tuberculosis (A17-A19),7,N/A,120
9TH THRU 12TH GRADE; NO DIPLOMA,Other tuberculosis (A17-A19),13,0.0,123
HIGH SCHOOL GRADUATE OR GED,Other tuberculosis (A17-A19),37,0.0,126
COLLEGE BUT NO DEGREE,Other tuberculosis (A17-A19),8,N/A,129
ASSOCIATE DEGREE (E.G. AA AS),Other tuberculosis (A17-A19),4,N/A,132
BACHELORS DEGREE (E.G. BA AB BS),Other tuberculosis (A17-A19),10,0.0,135
MASTERS DEGREE (E.G. MA MS..),Other tuberculosis (A17-A19),0,N/A,138
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other tuberculosis (A17-A19),0,N/A,141
UNKNOWN,Other tuberculosis (A17-A19),0,N/A,144
Total,Other tuberculosis (A17-A19),79,0.0,147
8TH GRADE OR LESS,Whooping cough (A37),1,N/A,150
9TH THRU 12TH GRADE; NO DIPLOMA,Whooping cough (A37),0,N/A,153
HIGH SCHOOL GRADUATE OR GED,Whooping cough (A37),0,N/A,156
COLLEGE BUT NO DEGREE,Whooping cough (A37),0,N/A,159
ASSOCIATE DEGREE (E.G. AA AS),Whooping cough (A37),1,N/A,162
BACHELORS DEGREE (E.G. BA AB BS),Whooping cough (A37),0,N/A,165
MASTERS DEGREE (E.G. MA MS..),Whooping cough (A37),0,N/A,168
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Whooping cough (A37),0,N/A,171
UNKNOWN,Whooping cough (A37),4,N/A,174
Total,Whooping cough (A37),6,N/A,177
