DeathEducationLevelEducationLevel,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
8TH GRADE OR LESS,2020 **,Salmonella infections (A01-A02),0,N/A,0
8TH GRADE OR LESS,2021 **,Salmonella infections (A01-A02),0,N/A,3
8TH GRADE OR LESS,Total,Salmonella infections (A01-A02),0,N/A,6
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Salmonella infections (A01-A02),0,N/A,9
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Salmonella infections (A01-A02),0,N/A,12
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Salmonella infections (A01-A02),0,N/A,15
HIGH SCHOOL GRADUATE OR GED,2020 **,Salmonella infections (A01-A02),2,N/A,18
HIGH SCHOOL GRADUATE OR GED,2021 **,Salmonella infections (A01-A02),0,N/A,21
HIGH SCHOOL GRADUATE OR GED,Total,Salmonella infections (A01-A02),2,N/A,24
COLLEGE BUT NO DEGREE,2020 **,Salmonella infections (A01-A02),0,N/A,27
COLLEGE BUT NO DEGREE,2021 **,Salmonella infections (A01-A02),0,N/A,30
COLLEGE BUT NO DEGREE,Total,Salmonella infections (A01-A02),0,N/A,33
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Salmonella infections (A01-A02),0,N/A,36
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Salmonella infections (A01-A02),0,N/A,39
ASSOCIATE DEGREE (E.G. AA AS),Total,Salmonella infections (A01-A02),0,N/A,42
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Salmonella infections (A01-A02),1,N/A,45
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Salmonella infections (A01-A02),0,N/A,48
BACHELORS DEGREE (E.G. BA AB BS),Total,Salmonella infections (A01-A02),1,N/A,51
MASTERS DEGREE (E.G. MA MS..),2020 **,Salmonella infections (A01-A02),0,N/A,54
MASTERS DEGREE (E.G. MA MS..),2021 **,Salmonella infections (A01-A02),0,N/A,57
MASTERS DEGREE (E.G. MA MS..),Total,Salmonella infections (A01-A02),0,N/A,60
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Salmonella infections (A01-A02),0,N/A,63
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Salmonella infections (A01-A02),0,N/A,66
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Salmonella infections (A01-A02),0,N/A,69
UNKNOWN,2020 **,Salmonella infections (A01-A02),0,N/A,72
UNKNOWN,2021 **,Salmonella infections (A01-A02),0,N/A,75
UNKNOWN,Total,Salmonella infections (A01-A02),0,N/A,78
Total,2020 **,Salmonella infections (A01-A02),3,N/A,81
Total,2021 **,Salmonella infections (A01-A02),0,N/A,84
Total,Total,Salmonella infections (A01-A02),3,N/A,87
8TH GRADE OR LESS,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,90
8TH GRADE OR LESS,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,93
8TH GRADE OR LESS,Total,Shigellosis and amebiasis (A03A06),0,N/A,96
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,99
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,102
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Shigellosis and amebiasis (A03A06),0,N/A,105
HIGH SCHOOL GRADUATE OR GED,2020 **,Shigellosis and amebiasis (A03A06),1,N/A,108
HIGH SCHOOL GRADUATE OR GED,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,111
HIGH SCHOOL GRADUATE OR GED,Total,Shigellosis and amebiasis (A03A06),1,N/A,114
COLLEGE BUT NO DEGREE,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,117
COLLEGE BUT NO DEGREE,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,120
COLLEGE BUT NO DEGREE,Total,Shigellosis and amebiasis (A03A06),0,N/A,123
