DeathAgeGroupNCIAgeNCI,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Less than 1,Salmonella infections (A01-A02),0,N/A,0
1 to 4,Salmonella infections (A01-A02),0,N/A,3
5 to 9,Salmonella infections (A01-A02),0,N/A,6
10 to 14,Salmonella infections (A01-A02),0,N/A,9
15 to 19,Salmonella infections (A01-A02),0,N/A,12
20 to 24,Salmonella infections (A01-A02),0,N/A,15
25 to 29,Salmonella infections (A01-A02),0,N/A,18
30 to 34,Salmonella infections (A01-A02),0,N/A,21
35 to 39,Salmonella infections (A01-A02),0,N/A,24
40 to 44,Salmonella infections (A01-A02),1,N/A,27
45 to 49,Salmonella infections (A01-A02),0,N/A,30
50 to 54,Salmonella infections (A01-A02),2,N/A,33
55 to 59,Salmonella infections (A01-A02),2,N/A,36
60 to 64,Salmonella infections (A01-A02),0,N/A,39
65 to 69,Salmonella infections (A01-A02),3,N/A,42
70 to 74,Salmonella infections (A01-A02),5,N/A,45
75 to 79,Salmonella infections (A01-A02),3,N/A,48
80 to 84,Salmonella infections (A01-A02),5,N/A,51
85 and older,Salmonella infections (A01-A02),0,N/A,54
Unknown,Salmonella infections (A01-A02),0,N/A,57
Total,Salmonella infections (A01-A02),21,0.0,60
Less than 1,Shigellosis and amebiasis (A03A06),0,N/A,63
1 to 4,Shigellosis and amebiasis (A03A06),0,N/A,66
5 to 9,Shigellosis and amebiasis (A03A06),0,N/A,69
10 to 14,Shigellosis and amebiasis (A03A06),0,N/A,72
15 to 19,Shigellosis and amebiasis (A03A06),0,N/A,75
20 to 24,Shigellosis and amebiasis (A03A06),0,N/A,78
25 to 29,Shigellosis and amebiasis (A03A06),0,N/A,81
30 to 34,Shigellosis and amebiasis (A03A06),0,N/A,84
35 to 39,Shigellosis and amebiasis (A03A06),0,N/A,87
40 to 44,Shigellosis and amebiasis (A03A06),0,N/A,90
45 to 49,Shigellosis and amebiasis (A03A06),0,N/A,93
50 to 54,Shigellosis and amebiasis (A03A06),0,N/A,96
55 to 59,Shigellosis and amebiasis (A03A06),0,N/A,99
60 to 64,Shigellosis and amebiasis (A03A06),1,N/A,102
