DeathSexSexDesc,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Female,2020 **,Salmonella infections (A01-A02),2,N/A,0
Female,2021 **,Salmonella infections (A01-A02),0,N/A,3
Female,Total,Salmonella infections (A01-A02),2,N/A,6
Male,2020 **,Salmonella infections (A01-A02),1,N/A,9
Male,2021 **,Salmonella infections (A01-A02),0,N/A,12
Male,Total,Salmonella infections (A01-A02),1,N/A,15
Unknown,2020 **,Salmonella infections (A01-A02),0,N/A,18
Unknown,2021 **,Salmonella infections (A01-A02),0,N/A,21
Unknown,Total,Salmonella infections (A01-A02),0,N/A,24
Total,2020 **,Salmonella infections (A01-A02),3,N/A,27
Total,2021 **,Salmonella infections (A01-A02),0,N/A,30
Total,Total,Salmonella infections (A01-A02),3,N/A,33
Female,2020 **,Shigellosis and amebiasis (A03A06),1,N/A,36
Female,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,39
Female,Total,Shigellosis and amebiasis (A03A06),1,N/A,42
Male,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,45
Male,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,48
Male,Total,Shigellosis and amebiasis (A03A06),0,N/A,51
Unknown,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,54
Unknown,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,57
Unknown,Total,Shigellosis and amebiasis (A03A06),0,N/A,60
Total,2020 **,Shigellosis and amebiasis (A03A06),1,N/A,63
Total,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,66
Total,Total,Shigellosis and amebiasis (A03A06),1,N/A,69
Female,2020 **,Certain other intestinal infections (A04A07-A09),151,1.7,72
Female,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,75
Female,Total,Certain other intestinal infections (A04A07-A09),151,0.8,78
Male,2020 **,Certain other intestinal infections (A04A07-A09),95,1.5,81
Male,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,84
Male,Total,Certain other intestinal infections (A04A07-A09),95,0.7,87
Unknown,2020 **,Certain other intestinal infections (A04A07-A09),0,N/A,90
Unknown,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,93
Unknown,Total,Certain other intestinal infections (A04A07-A09),0,N/A,96
Total,2020 **,Certain other intestinal infections (A04A07-A09),246,1.6,99
Total,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,102
Total,Total,Certain other intestinal infections (A04A07-A09),246,0.8,105
Female,2020 **,Respiratory tuberculosis (A16),4,N/A,108
Female,2021 **,Respiratory tuberculosis (A16),0,N/A,111
Female,Total,Respiratory tuberculosis (A16),4,N/A,114
Male,2020 **,Respiratory tuberculosis (A16),4,N/A,117
Male,2021 **,Respiratory tuberculosis (A16),0,N/A,120
Male,Total,Respiratory tuberculosis (A16),4,N/A,123
Unknown,2020 **,Respiratory tuberculosis (A16),0,N/A,126
Unknown,2021 **,Respiratory tuberculosis (A16),0,N/A,129
Unknown,Total,Respiratory tuberculosis (A16),0,N/A,132
Total,2020 **,Respiratory tuberculosis (A16),8,N/A,135
Total,2021 **,Respiratory tuberculosis (A16),0,N/A,138
Total,Total,Respiratory tuberculosis (A16),8,N/A,141
Female,2020 **,Other tuberculosis (A17-A19),1,N/A,144
Female,2021 **,Other tuberculosis (A17-A19),0,N/A,147
Female,Total,Other tuberculosis (A17-A19),1,N/A,150
Male,2020 **,Other tuberculosis (A17-A19),5,N/A,153
Male,2021 **,Other tuberculosis (A17-A19),0,N/A,156
Male,Total,Other tuberculosis (A17-A19),5,N/A,159
Unknown,2020 **,Other tuberculosis (A17-A19),0,N/A,162
Unknown,2021 **,Other tuberculosis (A17-A19),0,N/A,165
Unknown,Total,Other tuberculosis (A17-A19),0,N/A,168
Total,2020 **,Other tuberculosis (A17-A19),6,N/A,171
Total,2021 **,Other tuberculosis (A17-A19),0,N/A,174
Total,Total,Other tuberculosis (A17-A19),6,N/A,177
Female,2020 **,Whooping cough (A37),0,N/A,180
Female,2021 **,Whooping cough (A37),0,N/A,183
Female,Total,Whooping cough (A37),0,N/A,186
Male,2020 **,Whooping cough (A37),1,N/A,189
Male,2021 **,Whooping cough (A37),0,N/A,192
Male,Total,Whooping cough (A37),1,N/A,195
Unknown,2020 **,Whooping cough (A37),0,N/A,198
Unknown,2021 **,Whooping cough (A37),0,N/A,201
Unknown,Total,Whooping cough (A37),0,N/A,204
Total,2020 **,Whooping cough (A37),1,N/A,207
Total,2021 **,Whooping cough (A37),0,N/A,210
Total,Total,Whooping cough (A37),1,N/A,213
Female,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,216
Female,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,219
Female,Total,Scarlet fever and erysipelas (A38A46),0,N/A,222
Male,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,225
Male,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,228
Male,Total,Scarlet fever and erysipelas (A38A46),0,N/A,231
Unknown,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,234
Unknown,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,237
Unknown,Total,Scarlet fever and erysipelas (A38A46),0,N/A,240
Total,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,243
Total,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,246
Total,Total,Scarlet fever and erysipelas (A38A46),0,N/A,249
Female,2020 **,Meningococcal infection (A39),0,N/A,252
Female,2021 **,Meningococcal infection (A39),0,N/A,255
Female,Total,Meningococcal infection (A39),0,N/A,258
Male,2020 **,Meningococcal infection (A39),1,N/A,261
Male,2021 **,Meningococcal infection (A39),0,N/A,264
Male,Total,Meningococcal infection (A39),1,N/A,267
Unknown,2020 **,Meningococcal infection (A39),0,N/A,270
Unknown,2021 **,Meningococcal infection (A39),0,N/A,273
Unknown,Total,Meningococcal infection (A39),0,N/A,276
Total,2020 **,Meningococcal infection (A39),1,N/A,279
Total,2021 **,Meningococcal infection (A39),0,N/A,282
Total,Total,Meningococcal infection (A39),1,N/A,285
Female,2020 **,Septicemia (A40-A41),1005,11.7,288
Female,2021 **,Septicemia (A40-A41),0,N/A,291
Female,Total,Septicemia (A40-A41),1005,5.8,294
Male,2020 **,Septicemia (A40-A41),872,13.2,297
Male,2021 **,Septicemia (A40-A41),3,N/A,300
Male,Total,Septicemia (A40-A41),875,6.6,303
Unknown,2020 **,Septicemia (A40-A41),0,N/A,306
Unknown,2021 **,Septicemia (A40-A41),0,N/A,309
Unknown,Total,Septicemia (A40-A41),0,N/A,312
Total,2020 **,Septicemia (A40-A41),1877,12.3,315
Total,2021 **,Septicemia (A40-A41),3,N/A,318
Total,Total,Septicemia (A40-A41),1880,6.2,321
Female,2020 **,Syphilis ((A50-A53),0,N/A,324
Female,2021 **,Syphilis ((A50-A53),0,N/A,327
Female,Total,Syphilis ((A50-A53),0,N/A,330
Male,2020 **,Syphilis ((A50-A53),1,N/A,333
Male,2021 **,Syphilis ((A50-A53),0,N/A,336
