DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,SORT
2007,Salmonella infections (A01-A02),1,0
2008,Salmonella infections (A01-A02),1,2
2009,Salmonella infections (A01-A02),0,4
2010,Salmonella infections (A01-A02),0,6
2011,Salmonella infections (A01-A02),0,8
2012,Salmonella infections (A01-A02),0,10
2013,Salmonella infections (A01-A02),0,12
2014,Salmonella infections (A01-A02),0,14
2015,Salmonella infections (A01-A02),0,16
2016,Salmonella infections (A01-A02),0,18
2017,Salmonella infections (A01-A02),1,20
2018,Salmonella infections (A01-A02),0,22
2019,Salmonella infections (A01-A02),0,24
2020 **,Salmonella infections (A01-A02),0,26
2007,Shigellosis and amebiasis (A03A06),0,30
2008,Shigellosis and amebiasis (A03A06),0,32
2009,Shigellosis and amebiasis (A03A06),0,34
2010,Shigellosis and amebiasis (A03A06),0,36
2011,Shigellosis and amebiasis (A03A06),0,38
2012,Shigellosis and amebiasis (A03A06),0,40
2013,Shigellosis and amebiasis (A03A06),0,42
2014,Shigellosis and amebiasis (A03A06),0,44
2015,Shigellosis and amebiasis (A03A06),0,46
2016,Shigellosis and amebiasis (A03A06),0,48
2017,Shigellosis and amebiasis (A03A06),0,50
2018,Shigellosis and amebiasis (A03A06),0,52
2019,Shigellosis and amebiasis (A03A06),0,54
2020 **,Shigellosis and amebiasis (A03A06),0,56
2007,Certain other intestinal infections (A04A07-A09),37,60
2008,Certain other intestinal infections (A04A07-A09),34,62
2009,Certain other intestinal infections (A04A07-A09),39,64
2010,Certain other intestinal infections (A04A07-A09),50,66
2011,Certain other intestinal infections (A04A07-A09),48,68
2012,Certain other intestinal infections (A04A07-A09),35,70
2013,Certain other intestinal infections (A04A07-A09),40,72
2014,Certain other intestinal infections (A04A07-A09),40,74
2015,Certain other intestinal infections (A04A07-A09),31,76
2016,Certain other intestinal infections (A04A07-A09),26,78
2017,Certain other intestinal infections (A04A07-A09),39,80
2018,Certain other intestinal infections (A04A07-A09),27,82
2019,Certain other intestinal infections (A04A07-A09),33,84
2020 **,Certain other intestinal infections (A04A07-A09),23,86
2007,Respiratory tuberculosis (A16),5,90
2008,Respiratory tuberculosis (A16),1,92
2009,Respiratory tuberculosis (A16),4,94
2010,Respiratory tuberculosis (A16),2,96
2011,Respiratory tuberculosis (A16),4,98
2012,Respiratory tuberculosis (A16),5,100
2013,Respiratory tuberculosis (A16),2,102
2014,Respiratory tuberculosis (A16),1,104
2015,Respiratory tuberculosis (A16),1,106
2016,Respiratory tuberculosis (A16),3,108
2017,Respiratory tuberculosis (A16),1,110
2018,Respiratory tuberculosis (A16),3,112
2019,Respiratory tuberculosis (A16),1,114
2020 **,Respiratory tuberculosis (A16),1,116
2007,Other tuberculosis (A17-A19),0,120
2008,Other tuberculosis (A17-A19),1,122
2009,Other tuberculosis (A17-A19),1,124
2010,Other tuberculosis (A17-A19),3,126
2011,Other tuberculosis (A17-A19),0,128
2012,Other tuberculosis (A17-A19),0,130
2013,Other tuberculosis (A17-A19),1,132
2014,Other tuberculosis (A17-A19),0,134
2015,Other tuberculosis (A17-A19),3,136
2016,Other tuberculosis (A17-A19),0,138
2017,Other tuberculosis (A17-A19),1,140
2018,Other tuberculosis (A17-A19),2,142
2019,Other tuberculosis (A17-A19),0,144
2020 **,Other tuberculosis (A17-A19),3,146
2007,Whooping cough (A37),0,150
2008,Whooping cough (A37),0,152
2009,Whooping cough (A37),0,154
2010,Whooping cough (A37),0,156
